real_time,intensity,angle,time
2024-07-31T03:00:31.797,1.305,293.5466,0.0
2024-07-31T03:00:31.799,1.296,293.5466,0.002
2024-07-31T03:00:31.801,1.296,293.5466,0.004
2024-07-31T03:00:31.803,1.287,293.6158,0.006
2024-07-31T03:00:31.805,1.278,293.6158,0.008
2024-07-31T03:00:31.807,1.259,293.6862,0.01
2024-07-31T03:00:31.809,1.266,293.6862,0.012
2024-07-31T03:00:31.811,1.266,293.7575,0.014
2024-07-31T03:00:31.813,1.262,293.7575,0.016
2024-07-31T03:00:31.815,1.259,293.7575,0.018000000000000002
2024-07-31T03:00:31.817,1.25,293.7575,0.02
2024-07-31T03:00:31.819,1.25,293.7575,0.022
2024-07-31T03:00:31.821,1.25,293.7575,0.024
2024-07-31T03:00:31.823,1.256,293.7575,0.026000000000000002
2024-07-31T03:00:31.825,1.259,293.83,0.028
2024-07-31T03:00:31.827,1.262,293.903,0.03
2024-07-31T03:00:31.829,1.256,294.0511,0.032
2024-07-31T03:00:31.831,1.266,294.0511,0.034
2024-07-31T03:00:31.833,1.271,294.0511,0.036000000000000004
2024-07-31T03:00:31.835,1.278,294.0511,0.038
2024-07-31T03:00:31.837,1.281,294.1258,0.04
2024-07-31T03:00:31.839,1.287,294.1258,0.042
2024-07-31T03:00:31.841,1.29,294.2007,0.044
2024-07-31T03:00:31.843,1.296,294.2007,0.046
2024-07-31T03:00:31.845,1.299,294.2007,0.048
2024-07-31T03:00:31.847,1.305,294.2007,0.05
2024-07-31T03:00:31.849,1.311,294.2007,0.052000000000000005
2024-07-31T03:00:31.851,1.308,294.2007,0.054
2024-07-31T03:00:31.853,1.308,294.2757,0.056
2024-07-31T03:00:31.855,1.308,294.2757,0.058
2024-07-31T03:00:31.857,1.311,294.2757,0.06
2024-07-31T03:00:31.859,1.311,294.4272,0.062
2024-07-31T03:00:31.861,1.299,294.5042,0.064
2024-07-31T03:00:31.863,1.299,294.5819,0.066
2024-07-31T03:00:31.865,1.29,294.5819,0.068
2024-07-31T03:00:31.867,1.287,294.5819,0.07
2024-07-31T03:00:31.869,1.287,294.5819,0.07200000000000001
2024-07-31T03:00:31.871,1.278,294.5819,0.074
2024-07-31T03:00:31.873,1.262,294.5819,0.076
2024-07-31T03:00:31.875,1.259,294.5819,0.078
2024-07-31T03:00:31.877,1.25,294.7389,0.08
2024-07-31T03:00:31.879,1.241,294.8182,0.082
2024-07-31T03:00:31.881,1.241,294.8182,0.084
2024-07-31T03:00:31.883,1.229,294.8182,0.08600000000000001
2024-07-31T03:00:31.885,1.214,294.8978,0.088
2024-07-31T03:00:31.887,1.22,294.8978,0.09
2024-07-31T03:00:31.889,1.217,294.8978,0.092
2024-07-31T03:00:31.891,1.217,294.8978,0.094
2024-07-31T03:00:31.893,1.214,295.06,0.096
2024-07-31T03:00:31.895,1.202,295.06,0.098
2024-07-31T03:00:31.897,1.202,295.06,0.1
2024-07-31T03:00:31.899,1.202,295.1427,0.10200000000000001
2024-07-31T03:00:31.901,1.202,295.1427,0.10400000000000001
2024-07-31T03:00:31.903,1.208,295.1427,0.106
2024-07-31T03:00:31.905,1.211,295.1427,0.108
2024-07-31T03:00:31.907,1.214,295.2259,0.11
2024-07-31T03:00:31.909,1.217,295.31,0.112
2024-07-31T03:00:31.911,1.223,295.3949,0.114
2024-07-31T03:00:31.913,1.235,295.3949,0.116
2024-07-31T03:00:31.915,1.241,295.3949,0.11800000000000001
2024-07-31T03:00:31.917,1.25,295.3949,0.12
2024-07-31T03:00:31.919,1.253,295.3949,0.122
2024-07-31T03:00:31.921,1.259,295.4811,0.124
2024-07-31T03:00:31.923,1.271,295.5684,0.126
2024-07-31T03:00:31.925,1.278,295.5684,0.128
2024-07-31T03:00:31.927,1.284,295.6573,0.13
2024-07-31T03:00:31.929,1.287,295.6573,0.132
2024-07-31T03:00:31.931,1.293,295.6573,0.134
2024-07-31T03:00:31.933,1.296,295.7477,0.136
2024-07-31T03:00:31.935,1.302,295.7477,0.138
2024-07-31T03:00:31.937,1.308,295.8399,0.14
2024-07-31T03:00:31.939,1.311,295.8399,0.14200000000000002
2024-07-31T03:00:31.941,1.302,295.8399,0.14400000000000002
2024-07-31T03:00:31.943,1.311,295.9327,0.146
2024-07-31T03:00:31.945,1.314,296.0271,0.148
2024-07-31T03:00:31.947,1.317,296.0271,0.15
2024-07-31T03:00:31.949,1.323,296.0271,0.152
2024-07-31T03:00:31.951,1.32,296.0271,0.154
2024-07-31T03:00:31.953,1.329,296.0271,0.156
2024-07-31T03:00:31.955,1.323,296.1231,0.158
2024-07-31T03:00:31.957,1.326,296.2198,0.16
2024-07-31T03:00:31.959,1.332,296.2198,0.162
2024-07-31T03:00:31.961,1.335,296.2198,0.164
2024-07-31T03:00:31.963,1.32,296.318,0.166
2024-07-31T03:00:31.965,1.329,296.4175,0.168
2024-07-31T03:00:31.967,1.326,296.4175,0.17
2024-07-31T03:00:31.969,1.329,296.4175,0.17200000000000001
2024-07-31T03:00:31.971,1.329,296.4175,0.17400000000000002
2024-07-31T03:00:31.973,1.32,296.4175,0.176
2024-07-31T03:00:31.975,1.308,296.4175,0.178
2024-07-31T03:00:31.977,1.308,296.518,0.18
2024-07-31T03:00:31.979,1.311,296.7237,0.182
2024-07-31T03:00:31.981,1.314,296.7237,0.184
2024-07-31T03:00:31.983,1.314,296.7237,0.186
2024-07-31T03:00:31.985,1.311,296.7237,0.188
2024-07-31T03:00:31.987,1.308,296.7237,0.19
2024-07-31T03:00:31.989,1.308,296.9323,0.192
2024-07-31T03:00:31.991,1.314,296.9323,0.194
2024-07-31T03:00:31.993,1.317,297.0374,0.196
2024-07-31T03:00:31.995,1.317,297.0374,0.198
2024-07-31T03:00:31.997,1.317,297.0374,0.2
2024-07-31T03:00:31.999,1.305,297.0374,0.202
2024-07-31T03:00:32.001,1.311,297.1424,0.20400000000000001
2024-07-31T03:00:32.003,1.311,297.2476,0.20600000000000002
2024-07-31T03:00:32.005,1.311,297.2476,0.20800000000000002
2024-07-31T03:00:32.007,1.311,297.3534,0.21
2024-07-31T03:00:32.009,1.302,297.3534,0.212
2024-07-31T03:00:32.011,1.302,297.3534,0.214
2024-07-31T03:00:32.013,1.308,297.4596,0.216
2024-07-31T03:00:32.015,1.311,297.4596,0.218
2024-07-31T03:00:32.017,1.311,297.4596,0.22
2024-07-31T03:00:32.019,1.317,297.567,0.222
2024-07-31T03:00:32.021,1.314,297.567,0.224
2024-07-31T03:00:32.023,1.308,297.6748,0.226
2024-07-31T03:00:32.025,1.311,297.6748,0.228
2024-07-31T03:00:32.027,1.317,297.7829,0.23
2024-07-31T03:00:32.029,1.317,297.7829,0.232
2024-07-31T03:00:32.031,1.305,297.7829,0.234
2024-07-31T03:00:32.033,1.308,297.7829,0.23600000000000002
2024-07-31T03:00:32.035,1.311,297.7829,0.23800000000000002
2024-07-31T03:00:32.037,1.311,297.9994,0.24
2024-07-31T03:00:32.039,1.311,297.9994,0.242
2024-07-31T03:00:32.041,1.302,297.9994,0.244
2024-07-31T03:00:32.043,1.299,298.1072,0.246
2024-07-31T03:00:32.045,1.293,298.1072,0.248
2024-07-31T03:00:32.047,1.284,298.1072,0.25
2024-07-31T03:00:32.049,1.284,298.1072,0.252
2024-07-31T03:00:32.051,1.281,298.1072,0.254
2024-07-31T03:00:32.053,1.259,298.2151,0.256
2024-07-31T03:00:32.055,1.268,298.3237,0.258
2024-07-31T03:00:32.057,1.271,298.3237,0.26
2024-07-31T03:00:32.059,1.274,298.4319,0.262
2024-07-31T03:00:32.061,1.281,298.5406,0.264
2024-07-31T03:00:32.063,1.271,298.5406,0.266
2024-07-31T03:00:32.065,1.266,298.5406,0.268
2024-07-31T03:00:32.067,1.256,298.5406,0.27
2024-07-31T03:00:32.069,1.256,298.5406,0.272
2024-07-31T03:00:32.071,1.259,298.7586,0.274
2024-07-31T03:00:32.073,1.256,298.7586,0.276
2024-07-31T03:00:32.075,1.25,298.7586,0.278
2024-07-31T03:00:32.077,1.244,298.7586,0.28
2024-07-31T03:00:32.079,1.247,298.8681,0.28200000000000003
2024-07-31T03:00:32.081,1.244,298.8681,0.28400000000000003
2024-07-31T03:00:32.083,1.247,298.8681,0.28600000000000003
2024-07-31T03:00:32.085,1.241,298.8681,0.28800000000000003
2024-07-31T03:00:32.087,1.241,298.977,0.29
2024-07-31T03:00:32.089,1.229,299.0859,0.292
2024-07-31T03:00:32.091,1.229,299.1945,0.294
2024-07-31T03:00:32.093,1.229,299.3028,0.296
2024-07-31T03:00:32.095,1.226,299.3028,0.298
2024-07-31T03:00:32.097,1.226,299.3028,0.3
2024-07-31T03:00:32.099,1.226,299.3028,0.302
2024-07-31T03:00:32.101,1.226,299.3028,0.304
2024-07-31T03:00:32.103,1.226,299.4106,0.306
2024-07-31T03:00:32.105,1.235,299.5181,0.308
2024-07-31T03:00:32.107,1.238,299.5181,0.31
2024-07-31T03:00:32.109,1.238,299.5181,0.312
2024-07-31T03:00:32.111,1.232,299.6244,0.314
2024-07-31T03:00:32.113,1.223,299.6244,0.316
2024-07-31T03:00:32.115,1.217,299.7309,0.318
2024-07-31T03:00:32.117,1.205,299.7309,0.32
2024-07-31T03:00:32.119,1.202,299.7309,0.322
2024-07-31T03:00:32.121,1.187,299.8374,0.324
2024-07-31T03:00:32.123,1.19,299.8374,0.326
2024-07-31T03:00:32.125,1.199,299.8374,0.328
2024-07-31T03:00:32.127,1.208,299.9439,0.33
2024-07-31T03:00:32.129,1.217,299.9439,0.332
2024-07-31T03:00:32.131,1.208,300.0496,0.334
2024-07-31T03:00:32.133,1.202,300.0496,0.336
2024-07-31T03:00:32.135,1.196,300.0496,0.338
2024-07-31T03:00:32.137,1.193,300.1547,0.34
2024-07-31T03:00:32.139,1.199,300.1547,0.342
2024-07-31T03:00:32.141,1.202,300.2595,0.34400000000000003
2024-07-31T03:00:32.143,1.187,300.2595,0.34600000000000003
2024-07-31T03:00:32.145,1.178,300.3636,0.34800000000000003
2024-07-31T03:00:32.147,1.175,300.3636,0.35000000000000003
2024-07-31T03:00:32.149,1.168,300.3636,0.352
2024-07-31T03:00:32.151,1.175,300.3636,0.354
2024-07-31T03:00:32.153,1.171,300.4661,0.356
2024-07-31T03:00:32.155,1.178,300.5673,0.358
2024-07-31T03:00:32.157,1.175,300.5673,0.36
2024-07-31T03:00:32.159,1.187,300.6672,0.362
2024-07-31T03:00:32.161,1.187,300.7666,0.364
2024-07-31T03:00:32.163,1.181,300.7666,0.366
2024-07-31T03:00:32.165,1.178,300.7666,0.368
2024-07-31T03:00:32.167,1.168,300.7666,0.37
2024-07-31T03:00:32.169,1.175,300.8656,0.372
2024-07-31T03:00:32.171,1.184,300.8656,0.374
2024-07-31T03:00:32.173,1.196,300.9641,0.376
2024-07-31T03:00:32.175,1.202,300.9641,0.378
2024-07-31T03:00:32.177,1.205,300.9641,0.38
2024-07-31T03:00:32.179,1.196,301.0622,0.382
2024-07-31T03:00:32.181,1.187,301.0622,0.384
2024-07-31T03:00:32.183,1.187,301.0622,0.386
2024-07-31T03:00:32.185,1.175,301.0622,0.388
2024-07-31T03:00:32.187,1.171,301.258,0.39
2024-07-31T03:00:32.189,1.162,301.258,0.392
2024-07-31T03:00:32.191,1.168,301.258,0.394
