"Time","Potential"
0.000,1.606
0.002,1.606
0.004,1.606
0.006,1.600
0.008,1.600
0.010,1.600
0.012,1.606
0.014,1.606
0.016,1.594
0.018,1.597
0.020,1.597
0.022,1.600
0.024,1.606
0.026,1.600
0.028,1.594
0.030,1.603
0.032,1.606
0.034,1.609
0.036,1.612
0.038,1.606
0.040,1.606
0.042,1.597
0.044,1.606
0.046,1.609
0.048,1.609
0.050,1.609
0.052,1.606
0.054,1.603
0.056,1.606
0.058,1.606
0.060,1.606
0.062,1.606
0.064,1.594
0.066,1.594
0.068,1.594
0.070,1.597
0.072,1.594
0.074,1.585
0.076,1.579
0.078,1.573
0.080,1.570
0.082,1.573
0.084,1.570
0.086,1.546
0.088,1.561
0.090,1.558
0.092,1.561
0.094,1.564
0.096,1.561
0.098,1.546
0.100,1.558
0.102,1.567
0.104,1.576
0.106,1.585
0.108,1.579
0.110,1.585
0.112,1.582
0.114,1.585
0.116,1.591
0.118,1.585
0.120,1.585
0.122,1.573
0.124,1.570
0.126,1.570
0.128,1.564
0.130,1.561
0.132,1.561
0.134,1.543
0.136,1.543
0.138,1.552
0.140,1.561
0.142,1.570
0.144,1.576
0.146,1.585
0.148,1.594
0.150,1.606
0.152,1.625
0.154,1.637
0.156,1.637
0.158,1.655
0.160,1.664
0.162,1.673
0.164,1.691
0.166,1.697
0.168,1.700
0.170,1.719
0.172,1.725
0.174,1.734
0.176,1.737
0.178,1.731
0.180,1.715
0.182,1.694
0.184,1.685
0.186,1.673
0.188,1.655
0.190,1.643
0.192,1.625
0.194,1.619
0.196,1.616
0.198,1.609
0.200,1.616
0.202,1.619
0.204,1.609
0.206,1.622
0.208,1.625
0.210,1.628
0.212,1.625
0.214,1.616
0.216,1.609
0.218,1.597
0.220,1.594
0.222,1.597
0.224,1.606
0.226,1.600
0.228,1.609
0.230,1.616
0.232,1.625
0.234,1.631
0.236,1.628
0.238,1.612
0.240,1.600
0.242,1.600
0.244,1.591
0.246,1.591
0.248,1.588
0.250,1.579
0.252,1.567
0.254,1.561
0.256,1.546
0.258,1.528
0.260,1.506
0.262,1.488
0.264,1.479
0.266,1.476
0.268,1.482
0.270,1.485
0.272,1.482
0.274,1.470
0.276,1.473
0.278,1.473
0.280,1.479
0.282,1.479
0.284,1.476
0.286,1.482
0.288,1.485
0.290,1.491
0.292,1.488
0.294,1.482
0.296,1.461
0.298,1.473
0.300,1.488
0.302,1.488
0.304,1.485
0.306,1.479
0.308,1.473
0.310,1.476
0.312,1.488
0.314,1.485
0.316,1.482
0.318,1.479
0.320,1.476
0.322,1.479
0.324,1.488
0.326,1.491
0.328,1.485
0.330,1.482
0.332,1.488
0.334,1.491
0.336,1.485
0.338,1.482
0.340,1.485
0.342,1.491
0.344,1.479
0.346,1.476
0.348,1.476
0.350,1.485
0.352,1.491
0.354,1.488
0.356,1.479
0.358,1.476
0.360,1.479
0.362,1.479
0.364,1.488
0.366,1.485
0.368,1.479
0.370,1.470
0.372,1.470
0.374,1.485
0.376,1.494
0.378,1.479
0.380,1.464
0.382,1.473
0.384,1.479
0.386,1.482
0.388,1.476
0.390,1.476
0.392,1.473
0.394,1.476
0.396,1.476
0.398,1.473
0.400,1.476
0.402,1.479
0.404,1.476
0.406,1.473
0.408,1.476
0.410,1.479
0.412,1.485
0.414,1.473
0.416,1.473
0.418,1.473
0.420,1.479
0.422,1.485
0.424,1.488
0.426,1.479
0.428,1.476
0.430,1.473
0.432,1.479
0.434,1.485
0.436,1.479
0.438,1.479
0.440,1.479
0.442,1.479
0.444,1.488
0.446,1.494
0.448,1.485
0.450,1.473
0.452,1.482
0.454,1.479
0.456,1.485
0.458,1.485
0.460,1.476
0.462,1.473
0.464,1.476
0.466,1.488
0.468,1.488
0.470,1.488
0.472,1.494
0.474,1.488
0.476,1.488
0.478,1.491
0.480,1.488
0.482,1.488
0.484,1.479
0.486,1.479
0.488,1.482
0.490,1.485
0.492,1.491
0.494,1.491
0.496,1.485
0.498,1.476
0.500,1.476
0.502,1.479
0.504,1.485
0.506,1.473
0.508,1.479
0.510,1.482
0.512,1.479
0.514,1.485
0.516,1.485
0.518,1.473
0.520,1.464
0.522,1.479
0.524,1.479
0.526,1.488
0.528,1.488
0.530,1.482
0.532,1.473
0.534,1.479
0.536,1.485
0.538,1.485
0.540,1.488
0.542,1.488
0.544,1.488
0.546,1.485
0.548,1.485
0.550,1.485
0.552,1.485
0.554,1.473
0.556,1.476
0.558,1.482
0.560,1.485
0.562,1.488
0.564,1.488
0.566,1.485
0.568,1.479
0.570,1.476
0.572,1.479
0.574,1.482
0.576,1.473
0.578,1.473
0.580,1.473
0.582,1.470
0.584,1.473
0.586,1.473
0.588,1.464
0.590,1.461
0.592,1.473
0.594,1.473
0.596,1.479
0.598,1.482
0.600,1.473
0.602,1.470
0.604,1.473
0.606,1.476
0.608,1.476
0.610,1.479
0.612,1.476
0.614,1.479
0.616,1.479
0.618,1.482
0.620,1.482
0.622,1.482
0.624,1.473
0.626,1.476
0.628,1.476
0.630,1.482
0.632,1.485
0.634,1.485
0.636,1.482
0.638,1.476
0.640,1.476
0.642,1.482
0.644,1.485
0.646,1.473
0.648,1.479
0.650,1.476
0.652,1.476
0.654,1.485
0.656,1.488
0.658,1.473
0.660,1.473
0.662,1.485
0.664,1.482
0.666,1.485
0.668,1.482
0.670,1.476
0.672,1.467
0.674,1.473
0.676,1.476
0.678,1.479
0.680,1.485
0.682,1.482
0.684,1.479
0.686,1.479
0.688,1.479
0.690,1.479
0.692,1.479
0.694,1.470
0.696,1.470
0.698,1.470
0.700,1.473
0.702,1.479
0.704,1.479
0.706,1.473
0.708,1.470
0.710,1.473
0.712,1.473
0.714,1.479
0.716,1.473
0.718,1.473
0.720,1.476
0.722,1.476
0.724,1.485
0.726,1.485
0.728,1.479
0.730,1.473
0.732,1.485
0.734,1.485
0.736,1.488
0.738,1.488
0.740,1.482
0.742,1.485
0.744,1.485
0.746,1.488
0.748,1.488
0.750,1.491
0.752,1.494
0.754,1.488
0.756,1.485
0.758,1.488
0.760,1.488
0.762,1.494
0.764,1.488
0.766,1.485
0.768,1.488
0.770,1.491
0.772,1.497
0.774,1.494
0.776,1.488
0.778,1.485
0.780,1.485
0.782,1.488
0.784,1.494
0.786,1.491
0.788,1.488
0.790,1.488
0.792,1.488
0.794,1.494
0.796,1.494
0.798,1.488
0.800,1.479
0.802,1.491
0.804,1.491
0.806,1.497
0.808,1.497
0.810,1.500
0.812,1.491
0.814,1.491
0.816,1.494
0.818,1.497
0.820,1.497
0.822,1.497
0.824,1.488
0.826,1.491
0.828,1.494
0.830,1.494
0.832,1.497
0.834,1.491
0.836,1.488
0.838,1.488
0.840,1.488
0.842,1.494
0.844,1.497
0.846,1.488
0.848,1.488
