"Time","Potential"
0.000,0.006
0.002,0.006
0.004,0.006
0.006,0.006
0.008,0.003
0.010,0.009
0.012,0.003
0.014,0.006
0.016,0.003
0.018,0.006
0.020,0.009
0.022,0.003
0.024,0.003
0.026,0.012
0.028,0.012
0.030,-0.006
0.032,0.006
0.034,0.009
0.036,0.009
0.038,0.012
0.040,0.006
0.042,0.006
0.044,0.006
0.046,0.003
0.048,0.006
0.050,0.006
0.052,0.009
0.054,0.006
0.056,0.003
0.058,0.006
0.060,0.012
0.062,0.012
0.064,0.012
0.066,0.009
0.068,0.009
0.070,0.009
0.072,0.006
0.074,0.006
0.076,0.009
0.078,0.009
0.080,-0.006
0.082,0.006
0.084,0.006
0.086,0.006
0.088,0.003
0.090,0.003
0.092,0.009
0.094,0.009
0.096,0.006
0.098,0.006
0.100,0.009
0.102,0.009
0.104,0.012
0.106,0.009
0.108,0.009
0.110,0.015
0.112,0.006
0.114,0.006
0.116,0.006
0.118,0.015
0.120,0.006
0.122,0.006
0.124,0.006
0.126,-0.006
0.128,0.006
0.130,0.006
0.132,0.012
0.134,0.012
0.136,0.009
0.138,-0.006
0.140,0.006
0.142,0.009
0.144,0.009
0.146,0.009
0.148,0.006
0.150,0.009
0.152,-0.006
0.154,0.006
0.156,0.000
0.158,0.006
0.160,0.009
0.162,0.003
0.164,-0.006
0.166,0.000
0.168,0.009
0.170,0.003
0.172,0.006
0.174,0.006
0.176,0.009
0.178,0.009
0.180,0.006
0.182,0.006
0.184,0.006
0.186,0.000
0.188,0.000
0.190,0.009
0.192,0.009
0.194,-0.006
0.196,0.006
0.198,0.006
0.200,0.009
0.202,0.009
0.204,0.009
0.206,0.012
0.208,0.009
0.210,0.006
0.212,0.003
0.214,0.006
0.216,0.006
0.218,0.012
0.220,0.003
0.222,0.000
0.224,0.000
0.226,0.000
0.228,0.003
0.230,0.006
0.232,0.009
0.234,0.006
0.236,-0.006
0.238,0.006
0.240,0.009
0.242,0.012
0.244,0.012
0.246,0.012
0.248,0.015
0.250,0.015
0.252,0.006
0.254,0.006
0.256,0.015
0.258,0.018
0.260,0.006
0.262,0.015
0.264,0.015
0.266,0.015
0.268,0.009
0.270,0.015
0.272,0.018
0.274,0.018
0.276,0.012
0.278,0.012
0.280,0.012
0.282,0.018
0.284,0.018
0.286,0.018
0.288,0.012
0.290,0.015
0.292,0.006
0.294,0.003
0.296,0.006
0.298,0.009
0.300,0.009
0.302,-0.006
0.304,0.003
0.306,-0.006
0.308,0.006
0.310,0.009
0.312,0.009
0.314,0.009
0.316,0.012
0.318,0.003
0.320,0.000
0.322,0.006
0.324,0.006
0.326,0.003
0.328,0.000
0.330,0.009
0.332,0.000
0.334,0.003
0.336,0.003
0.338,0.003
0.340,0.006
0.342,0.003
0.344,0.000
0.346,0.000
0.348,0.009
0.350,-0.006
0.352,0.000
0.354,0.006
0.356,0.009
0.358,0.009
0.360,0.003
0.362,0.006
0.364,0.006
0.366,0.000
0.368,0.006
0.370,0.009
0.372,0.015
0.374,-0.006
0.376,0.006
0.378,0.003
0.380,0.009
0.382,0.012
0.384,0.009
0.386,0.009
0.388,0.009
0.390,0.006
0.392,0.003
0.394,0.006
0.396,0.009
0.398,0.012
0.400,0.003
0.402,0.000
0.404,0.000
0.406,0.003
0.408,0.006
0.410,0.006
0.412,0.009
0.414,0.006
0.416,-0.006
0.418,0.006
0.420,0.009
0.422,0.009
0.424,0.009
0.426,0.009
0.428,0.009
0.430,0.009
0.432,0.000
0.434,0.006
0.436,0.009
0.438,0.009
0.440,-0.006
0.442,0.003
0.444,0.000
0.446,0.003
0.448,0.003
0.450,0.003
0.452,0.009
0.454,0.000
0.456,-0.006
0.458,0.006
0.460,0.006
0.462,0.009
0.464,0.009
0.466,0.009
0.468,0.009
0.470,0.012
0.472,0.006
0.474,0.003
0.476,0.006
0.478,0.009
0.480,0.006
0.482,0.006
0.484,0.006
0.486,-0.006
0.488,-0.006
0.490,0.006
0.492,0.009
0.494,0.012
0.496,0.003
0.498,-0.006
0.500,0.009
0.502,0.009
0.504,0.012
0.506,0.006
0.508,0.006
0.510,0.012
0.512,-0.006
